technical_novelty_score_mean,similarity_std
2,tensor(1.5368)
2.8,tensor(2.2345)
2,tensor(1.0965)
3,tensor(1.8024)
2,tensor(1.1868)
2.25,tensor(1.8491)
2,tensor(1.8296)
2.25,tensor(1.8045)
2.2,tensor(1.5811)
2.6667,tensor(1.6168)
2.5,tensor(1.8781)
2.5,tensor(1.5753)
2.25,tensor(1.6381)
2.3333,tensor(1.6462)
3,tensor(1.5312)
2,tensor(1.4913)
2.3333,tensor(1.7256)
2,tensor(1.8817)
2.5,tensor(2.0941)
3,tensor(1.9237)
2.5,tensor(1.5873)
2.75,tensor(1.6213)
2.25,tensor(1.9457)
2,tensor(1.4099)
2.2,tensor(1.7218)
2,tensor(1.6948)
2.25,tensor(1.5955)
2.25,tensor(2.2430)
2.25,tensor(1.9784)
2.5,tensor(1.9356)
1.75,tensor(1.7718)
2.75,tensor(1.4544)
